[0000000040ns] mycpu : pc = 1c000000, inst = 02bffc0c, reg = 12, val = ffffffff
[0000000052ns] mycpu : pc = 1c000004, inst = 02bffc0c, reg = 12, val = ffffffff
[0000000074ns] mycpu : pc = 1c000008, inst = 0015000c, reg = 12, val = 00000000
[0000000086ns] mycpu : pc = 1c00000c, inst = 0384000e, reg = 14, val = 00000100
[0000000098ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000000
[0000000128ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000000
[0000000166ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000001
[0000000196ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000000
[0000000208ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000001
[0000000220ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000001
[0000000246ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000000276ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000010
[0000000304ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000010
[0000000346ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000011
[0000000370ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000010
[0000000396ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000011
[0000000410ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000002
[0000000426ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000000440ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000020
[0000000464ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000020
[0000000498ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000021
[0000000522ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000020
[0000000538ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000021
[0000000556ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000003
[0000000570ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000000588ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000030
[0000000614ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000030
[0000000650ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000031
[0000000674ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000030
[0000000688ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000031
[0000000704ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000004
[0000000718ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000000736ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000040
[0000000764ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000040
[0000000804ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000041
[0000000826ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000040
[0000000842ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000041
[0000000856ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000005
[0000000868ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000000880ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000050
[0000000906ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000050
[0000000940ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000051
[0000000962ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000050
[0000000976ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000051
[0000000988ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000006
[0000001000ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000001014ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000060
[0000001046ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000060
[0000001096ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000061
[0000001120ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000060
[0000001134ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000061
[0000001152ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000007
[0000001166ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000001178ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000070
[0000001202ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000070
[0000001250ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000071
[0000001278ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000070
[0000001290ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000071
[0000001302ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000008
[0000001316ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000001328ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000080
[0000001352ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000080
[0000001392ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000081
[0000001414ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000080
[0000001428ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000081
[0000001444ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000009
[0000001460ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000001476ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000090
[0000001506ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000090
[0000001544ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000091
[0000001566ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000090
[0000001580ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000091
[0000001594ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000000a
[0000001606ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000001618ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000000a0
[0000001642ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000000a0
[0000001680ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000000a1
[0000001704ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000000a0
[0000001718ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000000a1
[0000001736ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000000b
[0000001758ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000001774ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000000b0
[0000001802ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000000b0
[0000001838ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000000b1
[0000001862ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000000b0
[0000001880ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000000b1
[0000001894ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000000c
[0000001906ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000001924ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000000c0
[0000001966ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000000c0
[0000002014ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000000c1
[0000002042ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000000c0
[0000002054ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000000c1
[0000002074ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000000d
[0000002088ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000002108ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000000d0
[0000002134ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000000d0
[0000002172ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000000d1
[0000002198ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000000d0
[0000002210ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000000d1
[0000002230ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000000e
[0000002246ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000002260ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000000e0
[0000002290ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000000e0
[0000002332ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000000e1
[0000002354ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000000e0
[0000002370ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000000e1
[0000002384ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000000f
[0000002398ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000002416ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000000f0
[0000002446ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000000f0
[0000002486ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000000f1
